8287;EP-CART-K-C5850-5950;Фотобарабан черный  для принтеров ОКИ С5850/5950(20000 стр.);Фотобарабан EP-CART-K-C5850/5950;43870024;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;3;5800;5310;RUB
8289;EP-CART-K-C610        ;Фотобарабан черный для принтеров ОКИ С610(ресурс 20000 отпечатков);Фотобарабан EP-CART-K-C610;44315108;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;1;1;5550;5080;RUB
8297;EP-CART-K-C711                      ;Фотобарабан черный для принтеров ОКI С711(ресурс 20000 отпечатков);Фотобарабан черный EP-CART-K-C711;44318508;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;5;6430;5880;RUB
8299;EP-CART-K-C810/830;Фотобарабан черный для принтеров ОКИ С810/830/801/821/MC860/851/861(ресурс 20000 отпечатков);Фотобарабан  EP-CART-K-C810/830;44064012;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;1;4;8610;7880;RUB
64321;EP-CART-K-C824-834-844;Фотобарабан чёрный EP-CART-K-C824/834/844;null;46857508;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;1;6;10400;9440;RUB
33356;EP-CART-K-C831/841/822;Фотокартридж черный EP-CART-K-C831/841/822 для OKI C822/831/841(30000 стр. А4);Фотокартридж черный EP-CART-K-C831/841;44844408;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;1;5;11290;10340;RUB
8305;EP-CART-K-C8600-OKI;Фотобарабан черный для принтеров ОКИ С8600/8800(ресурс 20000 отпечатков);Фотобарабан EP-CART-K-C8600;43449016;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;9;6240;5710;RUB
48771;EP-CART-K-C931;Фотобарабан черный EP-CART-K-C911/C931, 40,000 стр. A4;Фотокартридж EP-CART-K-C911/931/941-4K;45103716;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;8;22090;20250;RUB
42119;EP-CART-K-ES9431-9541;Фотобарабан черныйдля ES9431/ES9541 ( 40,000 стр. A4);Фотобарабан EP-CART-K-ES9431/9541;45103722;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;0;19350;17200;RUB
42971;EP-CART-K-MC760-770-780;Фотобарабан EP-CART-K-MC760/770/780;null;45395704;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;2;2;11560;10590;RUB
48101;EP-CART-K-MC853-873;Фотокартридж черный EP-CART-K-MC853/873/MC883, ресурс 30 000 страниц А4 при постоянной печати;null;44844472;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;0;6800;5900;RUB
8328;EP-CART-M-C5600-5700;Фотобарабан малиновый для принтеров ОКИ С5600/5700(20000 стр.);Фотобарабан EP-CART-M-C5700;43381706;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;0;5800;5310;RUB
8332;EP-CART-M-C5650-5750;Фотобарабан малиновый для принтеров ОКИ С5650/5750(20000 стр.);Фотобарабан EP-CART-M-C5650/5750;43870006;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;0;5800;5310;RUB
8335;EP-CART-M-C5800-5900;Фотобарабан малиновый для принтеров ОКИ С5800/5900/5550MFP(20000 стр.);Фотобарабан EP-CART-M-C58/C59;43381722;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;1;7;5800;5310;RUB
8340;EP-CART-M-C5850-5950;Фотобарабан малиновый для принтеров ОКИ С5850/5950(20000 стр.);Фотобарабан EP-CART-M-C5850/5950;43870022;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;5;5800;5310;RUB
8343;EP-CART-M-C610        ;Фотобарабан малиновый для принтеров ОКИ С610(ресурс 20000 отпечатков);Фотобарабан EP-CART-M-C610;44315106;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;3;8750;8010;RUB
8356;EP-CART-M-C711                      ;Фотобарабан малиновый для принтеров ОКI С711(ресурс 20000 отпечатков);Фотобарабан малиновый EP-CART-M-C711;44318506;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;0;11380;10420;RUB
8360;EP-CART-M-C810/830;Фотобарабан малиновый для принтеров ОКИ С810/830/801/821/MC860/851/861(ресурс 20000 отпечатков);Фотобарабан  EP-CART-M-C810/830;44064010;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;1;3;10890;9980;RUB
64323;EP-CART-M-C824-834-844;Фотобарабан пурпурный EP-CART-M-C824/834/844;null;46857506;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;1;2;10400;9440;RUB
